isrm,TotalPop,MortalityR
803,825.6430137551208,1455.954897815363
804,1887.7977168094076,1455.954897815363
805,226.29495305637175,1455.954897815363
806,1253.4549084130063,1217.7442737025226
807,8720.349779914948,1217.7442737025226
808,299.12182170804243,1217.7442737025226
840,1494.4566992378882,1217.7442737025224
841,202.73343351139087,1217.7442737025226
843,10418.618661804781,1070.9886924307282
844,4544.611014385957,1455.9548978153628
845,4544.611014386182,1455.9548978153628
846,534.0891437276397,1217.7442737025226
847,43.09074122191658,1217.7442737025224
848,24.942680126164262,1217.7442737025226
849,198.36272174584926,1217.7442737025226
850,55.00413889270024,1217.7442737025226
851,12.397670109112692,1217.7442737025226
852,12.397670109082744,1217.7442737025224
853,9.009209856491896,1217.7442737025226
854,7.594948794612151,1217.7442737025226
855,12.397670109082744,1217.7442737025224
856,12.397670109105476,1217.7442737025224
857,9.668986345841901,1217.7442737025226
858,5.945548232681434,1217.7442737025226
859,1785.2644957114526,1217.7442737025226
860,198.3627217458175,1217.7442737025226
861,97.34265890071924,1217.7442737025224
862,21.891830641605857,1217.7442737025228
863,198.3627217458276,1217.7442737025224
864,158.42486122983104,1217.7442737025224
865,125.01437883854013,1217.7442737025224
909,8582.63878104528,788.3142518752469
910,6420.810258852282,801.6018065835239
911,94549.0029214594,974.6882159217176
912,112351.87998908901,1100.828351131165
913,16310.172492974236,1455.954897815363
914,21740.209953491456,1287.1001509588534
915,28564.23193138068,1217.7442737025224
916,6317.265751221252,1228.629156198686
917,1268.1916380030914,1436.296776984642
918,801.2468431038113,2287.104622871046
919,41.24173201126482,2287.104622871046
947,55917.080862346054,1030.0186021829436
948,57972.05448798558,1070.9886924307282
949,4572.75192292412,1458.0238397019825
950,4544.611014386304,1455.9548978153628
951,7141.0579828458895,1217.7442737025224
952,6966.610447387486,1217.7442737025224
953,8720.972958012575,788.3142518752469
954,8719.617342527114,788.3142518752468
955,5523.163186483569,788.3142518752468
956,544.8517482062138,788.3142518752468
962,76.8864029043419,974.823951765085
963,1589.5918781971477,974.823951765085
964,2571.6738011793873,974.8239517650848
965,2571.673801180585,974.823951765085
966,2571.67380118131,974.8239517650848
967,2571.673801180931,974.8239517650848
968,1625.5832057190698,1070.9886924307282
969,1625.5832057176415,1070.9886924307282
970,1625.5832057177984,1070.9886924307282
971,1625.5832057155183,1070.9886924307284
972,1625.5832057180085,1070.988692430728
973,1625.5832057180971,1070.988692430728
974,1625.5832057164944,1070.9886924307282
975,1625.5832057168489,1070.9886924307282
976,1625.583205717624,1070.9886924307282
977,504.90021052413994,788.3142518752468
978,350.4830859390657,788.3142518752468
979,213.6336501535598,788.3142518752468
980,113.3297282519264,788.3142518752468
981,6.3358176787682865,788.3142518752468
987,2180.2432395039414,788.3142518752468
988,6955.788531900452,823.6330558350232
989,12.3907876681546,823.633055835023
992,406.39580142935415,1070.9886924307282
993,406.39580142905265,1070.988692430728
994,406.3958014298155,1070.9886924307282
995,406.39580142887223,1070.9886924307282
996,545.060809877522,788.3142518752468
997,545.0608098752793,788.3142518752468
998,545.0608098747638,788.3142518752468
999,545.0608098764235,788.3142518752468
1000,518.0452396685794,788.3142518752468
1001,450.6820177345886,788.3142518752468
1002,404.344967802208,788.3142518752468
1003,2009.8964223890782,820.0517532124519
1004,2090.217434787874,823.6330558350232
1005,783.5804169100372,823.633055835023
1009,650.55658000867,821.1143695014663
1010,64226.78613596596,788.3142518752468
1011,8720.972958018969,788.3142518752468
1012,8720.972958024657,788.3142518752469
1013,8720.972958018589,788.3142518752468
1014,509.6236566714328,974.8239517650848
1015,2110.4344188947566,974.8239517650848
1016,2571.673801179022,974.823951765085
1017,2571.673801180187,974.823951765085
1018,2571.673801180828,974.823951765085
1019,2571.673801179612,974.8239517650848
1020,2571.673801180019,974.8239517650848
1021,23145.06421062428,974.8239517650848
1022,18284.279389668776,1018.7498741948409
1023,1625.5832057186203,1070.9886924307282
1024,1625.583205717272,1070.9886924307282
1025,1625.5832057174082,1070.988692430728
1026,1625.5832057168786,1070.988692430728
1027,1625.5832057175173,1070.9886924307282
1028,1625.583205718907,1070.9886924307282
1029,1625.583205718848,1070.9886924307282
1030,14630.248851461316,1070.988692430728
1031,545.0608098766119,788.3142518752468
1032,545.0608098747639,788.3142518752468
1033,545.060809877302,788.3142518752468
1034,545.0608098743712,788.3142518752468
1035,545.0608098754736,788.3142518752469
1036,545.0608098738675,788.3142518752468
1037,545.0608098792808,788.3142518752469
1038,545.0608098734214,788.3142518752468
1039,545.060809876945,788.3142518752469
1040,4425.590547451754,822.2165695688899
1041,6299.417184964808,823.6330558350232
1042,6299.417184976291,823.6330558350232
1043,6299.4171849613485,823.6330558350232
1044,6299.4171849772065,823.633055835023
1045,6075.750861231522,823.6330558350232
1046,5109.2675371790865,823.633055835023
1047,3842.9927684931713,823.633055835023
1048,2497.9640603257358,823.6330558350232
1049,101.59895035745609,1070.9886924307282
1050,101.59895035704656,1070.9886924307282
1051,101.59895035763054,1070.988692430728
1052,101.59895035736885,1070.9886924307282
1053,728.1630855899598,823.633055835023
1054,406.3958014289166,1070.988692430728
1055,406.39580142926553,1070.9886924307282
1056,545.060809876015,788.3142518752469
1057,545.0608098757989,788.3142518752468
1058,545.0608098768855,788.3142518752466
1059,545.0608098760368,788.3142518752468
1060,545.0608098766834,788.3142518752466
1061,545.0608098750811,788.3142518752468
1062,545.0608098806928,788.3142518752468
1063,545.060809873925,788.3142518752469
1064,641.852597415568,794.1448460124544
1065,5961.979346009485,823.4437092379575
1066,6299.417184965978,823.6330558350232
1067,6299.417184994899,823.6330558350232
1068,6299.417184968292,823.6330558350232
1069,6299.417184980575,823.633055835023
1070,6299.4171849798895,823.6330558350232
1071,6299.417184964053,823.6330558350232
1072,6299.417185002301,823.6330558350232
1073,6271.243849065313,823.6330558350232
1074,101.59895035744427,1070.9886924307282
1075,101.59895035703326,1070.9886924307282
1076,101.59895035758176,1070.988692430728
1077,101.59895035719885,1070.988692430728
1078,545.0608098753885,788.3142518752466
1079,545.0608098755688,788.3142518752468
1080,545.0608098771493,788.3142518752466
1081,545.060809876715,788.3142518752468
1082,545.060809879035,788.3142518752468
1083,545.0608098730465,788.3142518752469
1084,1999.7278300033463,816.4398849210396
1085,6299.417184976222,823.6330558350232
1086,6299.417184981928,823.6330558350232
1087,6299.417184978743,823.6330558350232
1088,6299.417184972028,823.6330558350232
1089,6299.417184981378,823.633055835023
1090,6299.4171849798895,823.6330558350232
1091,6299.417184989675,823.6330558350232
1092,6299.417184981997,823.633055835023
1093,5858.906277831254,823.6330558350232
1094,160.72961257338983,974.8239517650848
1095,160.72961257393715,974.8239517650848
1096,101.59895035720402,1070.9886924307282
1097,101.59895035753003,1070.988692430728
1098,101.59895035724024,1070.9886924307282
1099,101.59895035751819,1070.988692430728
1100,101.59895035777545,1070.9886924307282
1101,101.59895035750932,1070.9886924307282
1102,101.59895035745313,1070.988692430728
1103,101.59895035715596,1070.9886924307282
1104,101.5989503575315,1070.988692430728
1105,101.5989503573733,1070.988692430728
1106,101.59895035745166,1070.9886924307282
1107,101.5989503572151,1070.988692430728
1108,2180.243239505472,788.3142518752468
1109,2180.2432395047067,788.3142518752468
1110,2180.243239504429,788.3142518752468
1111,2180.2432395050755,788.3142518752466
1112,2180.243239505825,788.3142518752468
1113,2016.1463047614093,823.6330558350232
1114,642.9184502949182,974.823951765085
1115,642.9184502962537,974.8239517650848
1116,642.9184502938072,974.823951765085
1117,642.9184502947099,974.823951765085
1118,642.9184502955941,974.823951765085
1119,406.3958014290216,1070.988692430728
1120,406.39580142913246,1070.9886924307282
1121,406.3958014295198,1070.988692430728
1122,406.3958014292921,1070.9886924307282
1123,545.0608098747539,788.3142518752468
1124,545.0608098771116,788.3142518752468
1125,545.0608098777442,788.3142518752468
1126,545.0608098756343,788.3142518752469
1127,545.0608098776371,788.3142518752468
1128,545.0608098745834,788.3142518752468
1129,3663.2751154491366,821.2256269520003
1130,6299.417184972325,823.633055835023
1131,6299.4171849739305,823.6330558350232
1132,6299.417184973563,823.6330558350232
1133,6299.417184984747,823.633055835023
1134,6299.4171849898585,823.6330558350232
1135,6299.417184962311,823.6330558350232
1136,6299.417184998589,823.6330558350232
1137,6299.417184975054,823.6330558350232
1138,6205.224747892403,823.633055835023
1139,160.72961257368803,974.823951765085
1140,148.40992026807854,974.8239517650848
1141,101.5989503571907,1070.9886924307282
1142,101.59895035702587,1070.9886924307282
1143,101.59895035716187,1070.9886924307282
